City,Country,Date,Medium,Page,Region,Section,Section (group),Exits,Goal Conversion Rate,Number of Records,Pageviews,Pageviews per Visitor,Time on Page,Time on Page per Visitor,Total Downloads,Unique Visitors,Visits
Windermere,United States,12/19/2014,(none),/gallery/messi039s-86-goals,North America,Examples,Case Studies,0,0.0033,1,27,2.7,1800,180,0.0726,10,22
San Luis Obispo,United States,12/19/2014,(none),/gallery/30-years-cd,North America,Examples,Case Studies,0,0.004,1,24,2.4,1602,160.2,0.108,10,27
Phoenix,United States,12/19/2014,(none),/gallery/scotland-population,North America,Examples,Case Studies,0,0.0018,1,23,2.3,633,63.3,0.054,10,30
Ft Mill,United States,12/19/2014,(none),/gallery/voting-history-us-states,North America,Examples,Case Studies,0,0.0014,1,39,3.9,4857,485.7,0.042,10,30
Washington,United States,12/19/2014,(none),/gallery/nhl-players-go-abroad,North America,Examples,Case Studies,0,0.0014,1,32,3.2,584,58.4,0.0448,10,32
Newbury Park,United States,12/19/2014,(none),/gallery/messi039s-86-goals,North America,Examples,Case Studies,0,0.0037,1,49,4.9,811,81.1,0.1702,10,46
San Diego,United States,12/19/2014,(none),/gallery/voting-history-us-states,North America,Examples,Case Studies,0,0.0027,1,16,1.6,14956,1495.6,0.1566,10,58
Washington,United States,12/19/2014,(none),/gallery/30-years-cd,North America,Examples,Case Studies,10,0.0031,1,22,2.2,1800,180,0.0682,10,22
Springfield,United States,12/19/2014,(none),/gallery/voting-history-us-states,North America,Examples,Case Studies,10,0.0017,1,24,2.4,1730,173,0.0374,10,22
Jacksonville,United States,12/19/2014,(none),/gallery/state-migration,North America,Examples,Case Studies,10,0.0015,1,40,4,530,53,0.033,10,22
Atlanta,United States,12/19/2014,(none),/gallery/messi039s-86-goals,North America,Examples,Case Studies,10,0.0033,1,21,2.1,1200,120,0.0792,10,24
Poughkeepsie,United States,12/19/2014,(none),/gallery/voting-history-us-states,North America,Examples,Case Studies,10,0.001,1,37,3.7,680,68,0.026,10,26
Jasper,United States,12/19/2014,(none),/gallery/voting-history-us-states,North America,Examples,Case Studies,10,0.0028,1,10,1,460,46,0.0756,10,27
Austin,United States,12/19/2014,(none),/gallery/voting-history-us-states,North America,Examples,Case Studies,10,0.0039,1,13,1.3,584,58.4,0.117,10,30
Columbus,United States,12/19/2014,(none),/gallery/voting-history-us-states,North America,Examples,Case Studies,10,0.0027,1,37,3.7,540,54,0.0837,10,31
San Marcos,United States,12/19/2014,(none),/gallery/realestatebuyer-seller,North America,Examples,Case Studies,10,0.003,1,48,4.8,1140,114,0.093,10,31
Honolulu,United States,12/19/2014,(none),/gallery/messi039s-86-goals,North America,Examples,Case Studies,10,0.0017,1,21,2.1,1140,114,0.0612,10,36
Brookfield,United States,12/19/2014,(none),/gallery/realestatebuyer-seller,North America,Examples,Case Studies,10,0.0021,1,29,2.9,1110,111,0.0756,10,36
San Jose,United States,12/19/2014,(none),/gallery/messi039s-86-goals,North America,Examples,Case Studies,10,0.0019,1,30,3,840,84,0.0684,10,36
Germantown,United States,12/19/2014,(none),/gallery/voting-history-us-states,North America,Examples,Case Studies,10,0.0022,1,23,2.3,1130,113,0.0814,10,37
Lakeland,United States,12/19/2014,(none),/gallery/messi039s-86-goals,North America,Examples,Case Studies,10,0.0036,1,24,2.4,770,77,0.1512,10,42
Seattle,United States,12/19/2014,(none),/gallery/realestatebuyer-seller,North America,Examples,Case Studies,10,0.0015,1,47,4.7,1340,134,0.063,10,42
Denver,United States,12/19/2014,(none),/gallery/messi039s-86-goals,North America,Examples,Case Studies,10,0.0013,1,18,1.8,740,74,0.0559,10,43
Seattle,United States,12/19/2014,(none),/gallery/cost-college-football-wins,North America,Examples,Case Studies,10,0.0034,1,31,3.1,580,58,0.1496,10,44
Santa Barbara,United States,12/19/2014,(none),/gallery/scotland-population,North America,Examples,Case Studies,10,0.0032,1,34,3.4,980,98,0.144,10,45
Brea,United States,12/19/2014,(none),/gallery/realestatebuyer-seller,North America,Examples,Case Studies,10,0.001,1,15,1.5,940,94,0.049,10,49
Monroe,United States,12/19/2014,(none),/gallery/scotland-population,North America,Examples,Case Studies,10,0.0031,1,11,1.1,1210,121,0.1736,10,56
Boston,United States,12/19/2014,(none),/gallery/messi039s-86-goals,North America,Examples,Case Studies,10,0.016666667,1,15,1.5,1020,102,1,10,60
San Francisco,United States,12/19/2014,(none),/gallery/realestatebuyer-seller,North America,Examples,Case Studies,20,0.0022,1,46,2.3,3560,178,0.0924,20,42
Atlanta,United States,12/19/2014,(none),/gallery/voting-history-us-states,North America,Examples,Case Studies,20,0.0015,1,38,1.9,3060,153,0.093,20,62
Florence,United States,12/19/2014,(none),/gallery/30-years-cd,North America,Examples,Case Studies,30,0.002,1,104,3.466666667,3930,131,0.142,30,71
Charlotte,United States,12/20/2014,(none),/gallery/scotland-population,North America,Examples,Case Studies,0,0.0027,1,47,4.7,287,28.7,0.081,10,30
Kansas City,United States,12/20/2014,(none),/gallery/stds,North America,Examples,Case Studies,10,0.0034,1,46,4.6,1400,140,0.0816,10,24
Ft Lauderdale,United States,12/20/2014,(none),/gallery/voting-history-us-states,North America,Examples,Case Studies,10,0.0016,1,32,3.2,910,91,0.0432,10,27
Sacramento,United States,12/20/2014,(none),/gallery/scotland-population,North America,Examples,Case Studies,10,0.0014,1,50,5,1220,122,0.0378,10,27
Gates Mills,United States,12/20/2014,(none),/gallery/scotland-population,North America,Examples,Case Studies,10,0.0035,1,45,4.5,1600,160,0.1295,10,37
Seattle,United States,12/20/2014,(none),/gallery/scotland-population,North America,Examples,Case Studies,10,0.0031,1,35,3.5,880,88,0.124,10,40
Oakland,United States,12/20/2014,(none),/gallery/messi039s-86-goals,North America,Examples,Case Studies,10,0.0029,1,48,4.8,1000,100,0.116,10,40
Cincinnati,United States,12/20/2014,(none),/gallery/scotland-population,North America,Examples,Case Studies,10,0.0022,1,32,3.2,470,47,0.0924,10,42
New York,United States,12/20/2014,(none),/gallery/livinglongerunhealthy,North America,Examples,Case Studies,10,0.0013,1,41,4.1,59,5.9,0.0546,10,42
Bethesda,United States,12/20/2014,(none),/gallery/cbs-sports-idmt,North America,Examples,Case Studies,10,0.0024,1,33,3.3,1690,169,0.1128,10,47
King of Prussia,United States,12/20/2014,(none),/gallery/scotland-population,North America,Examples,Case Studies,10,0.002,1,47,4.7,970,97,0.1,10,50
Seattle,United States,12/20/2014,(none),/gallery/college-football-recruiting,North America,Examples,Case Studies,10,0.0013,1,24,2.4,840,84,0.0663,10,51
Portland,United States,12/21/2014,(none),/gallery/livinglongerunhealthy,North America,Examples,Case Studies,0,0.0031,1,11,1.1,1227,122.7,0.0713,10,23
Seattle,United States,12/21/2014,(none),/gallery/teen-pregnancy-declines,North America,Examples,Case Studies,0,0.0036,1,19,1.9,1573,157.3,0.1656,10,46
Shreveport,United States,12/21/2014,(none),/gallery/college-football-recruiting,North America,Examples,Case Studies,10,0.0019,1,35,3.5,620,62,0.0551,10,29
Houston,United States,12/21/2014,(none),/gallery/canadian-wealth,North America,Examples,Case Studies,10,0.0027,1,22,2.2,630,63,0.0972,10,36
New York,United States,12/21/2014,(none),/gallery/messi039s-86-goals,North America,Examples,Case Studies,10,0.027027027,1,21,2.1,1110,111,1,10,37
Honeoye Falls,United States,12/21/2014,(none),/gallery/livinglongerunhealthy,North America,Examples,Case Studies,10,0.0017,1,13,1.3,990,99,0.0714,10,42
Louisville,United States,12/21/2014,(none),/gallery/messi039s-86-goals,North America,Examples,Case Studies,10,0.023255814,1,45,4.5,810,81,1,10,43
Seattle,United States,12/21/2014,(none),/gallery/livinglongerunhealthy,North America,Examples,Case Studies,10,0.0013,1,43,4.3,1550,155,0.0572,10,44
Boise,United States,12/21/2014,(none),/gallery/great-divide,North America,Examples,Case Studies,10,0.0021,1,17,1.7,1300,130,0.0987,10,47
New York,United States,12/21/2014,(none),/gallery/canadian-wealth,North America,Examples,Case Studies,10,0.0018,1,29,2.9,1190,119,0.0918,10,51
Arlington,United States,12/21/2014,(none),/gallery/messi039s-86-goals,North America,Examples,Case Studies,10,0.0039,1,19,1.9,610,61,0.2067,10,53
Columbus,United States,12/21/2014,(none),/gallery/voting-history-us-states,North America,Examples,Case Studies,10,0.0018,1,35,3.5,760,76,0.0972,10,54
Glenview,United States,12/21/2014,(none),/gallery,North America,Examples,Case Studies,10,0.0026,1,23,2.3,1560,156,0.156,10,60
Seattle,United States,12/21/2014,(none),/gallery/great-divide,North America,Examples,Case Studies,10,0.0028,1,53,2.65,4342,217.1,0.0896,20,32
Springfield,United States,12/23/2014,(none),/gallery/voting-history-us-states,North America,Examples,Case Studies,10,0.0025,1,34,3.4,1290,129,0.0575,10,23
New Haven,United States,12/23/2014,(none),/gallery/canadian-wealth,North America,Examples,Case Studies,10,0.0017,1,18,1.8,129,12.9,0.0697,10,41
Seattle,United States,12/23/2014,(none),/gallery/canadian-wealth,North America,Examples,Case Studies,10,0.0039,1,15,1.5,1570,157,0.1989,10,51
Plano,United States,12/24/2014,(none),/gallery?elq=b401615479ef406eb1a95bbe1c432918,North America,Examples,Case Studies,0,0.011111111,1,37,3.7,40,4,1,10,90
Allen,United States,12/25/2014,(none),/gallery?elq=d8cead6fd2164782815edbdda0aae029,North America,Examples,Case Studies,0,0.0039,1,24,2.4,247,24.7,0.312,10,80
Torrance,United States,12/25/2014,(none),/gallery/international-debt-stats,North America,Examples,Case Studies,10,0.0015,1,32,3.2,650,65,0.12,10,80
Seattle,United States,12/26/2014,(none),/gallery/canadian-wealth,North America,Examples,Case Studies,0,0.0036,1,20,2,2779,277.9,0.18,10,50
Ozark,United States,12/26/2014,(none),/gallery?elq=1c28b89efb6f446eb509c403ff9a0eb7,North America,Examples,Case Studies,0,0.0032,1,15,1.5,227,22.7,0.1664,10,52
Hebron,United States,12/26/2014,(none),/gallery/messi039s-86-goals,North America,Examples,Case Studies,0,0.0015,1,19,1.9,277,27.7,0.165,10,110
Laramie,United States,12/26/2014,(none),/gallery/international-debt-stats,North America,Examples,Case Studies,0,0.0018,1,39,3.9,1583,158.3,0.2088,10,116
Richmond,United States,12/26/2014,(none),/gallery/comparing-us-economic-crisis,North America,Examples,Case Studies,10,0.0032,1,18,1.8,1770,177,0.2432,10,76
Sedona,United States,12/26/2014,(none),/gallery/voting-history-us-states,North America,Examples,Case Studies,10,0.002,1,26,2.6,650,65,0.172,10,86
Chicago,United States,12/26/2014,(none),/gallery/stds,North America,Examples,Case Studies,10,0.010638298,1,41,4.1,710,71,1,10,94
Dallas,United States,12/27/2014,(none),/gallery/biking-argentina,North America,Examples,Case Studies,10,0.0031,1,19,1.9,1610,161,0.1488,10,48
San Diego,United States,12/27/2014,(none),/gallery/minard-visualization-1812,North America,Examples,Case Studies,10,0.0019,1,31,3.1,1090,109,0.1862,10,98
New York,United States,12/27/2014,(none),/gallery/voting-history-us-states,North America,Examples,Case Studies,10,0.0025,1,10,1,1130,113,0.25,10,100
Seattle,United States,12/27/2014,(none),/gallery/biking-argentina,North America,Examples,Case Studies,20,0.009615385,1,75,3.75,2480,124,1,20,104
Tempe,United States,12/28/2014,(none),/gallery,North America,Examples,Case Studies,0,0.0037,1,29,2.9,1276,127.6,0.4218,10,114
New York,United States,12/28/2014,(none),/gallery/all?page=1,North America,Examples,Case Studies,10,0.0026,1,17,1.7,930,93,0.2236,10,86
Honolulu,United States,12/28/2014,(none),/gallery/case-shiller-0,North America,Examples,Case Studies,10,0.001,1,20,2,980,98,0.096,10,96
Port Washington,United States,12/30/2014,(none),/gallery,North America,Examples,Case Studies,0,0.0027,1,31,3.1,1563,156.3,0.1188,10,44
Rockwood,United States,12/31/2014,(none),/gallery/times-watch,North America,Examples,Case Studies,0,0.0039,1,16,1.6,188,18.8,0.4134,10,106
Portland,United States,12/31/2014,(none),/gallery/mlb-salary,North America,Examples,Case Studies,10,0.0038,1,28,2.8,760,76,0.2736,10,72
Seattle,United States,12/31/2014,(none),/gallery/co2-emissions,North America,Examples,Case Studies,10,0.0039,1,29,2.9,1400,140,0.4134,10,106
Richmond,Canada,11/21/2014,cpc,/gallery/ontario-baby-names-1,North America,Examples,Case Studies,120,0.0035,1,384,3.2,16320,136,1.386,120,396
Richmond,Canada,11/22/2014,cpc,/gallery/gobble-gobble,North America,Examples,Case Studies,60,0.0024,1,258,4.3,4380,73,0.8352,60,348
Richmond,Canada,11/30/2014,cpc,/gallery/us-unemployment-correlations,North America,Examples,Case Studies,60,0.0028,1,156,2.6,3480,58,0.5208,60,186
Toronto,Canada,12/12/2014,cpc,/gallery?elq=536b687cd2f946a28f618309bdeeedf2,North America,Examples,Case Studies,60,0.004,1,186,3.1,414,6.9,1.08,60,270
Vancouver,Canada,12/18/2014,cpc,/gallery/voting-history-us-states,North America,Examples,Case Studies,0,0.0034,1,210,3.5,20298,338.3,0.4284,60,126
Mexico City,Mexico,12/18/2014,cpc,/gallery/messi039s-86-goals,North America,Examples,Case Studies,100,0.0028,1,430,3.495934959,10780,87.642276423,0.784,123,280
Warner Robins,United States,11/21/2014,cpc,/gallery,North America,Examples,Case Studies,0,0.0019,1,46,4.6,69,6.9,0.0532,10,28
San Jose,United States,11/21/2014,cpc,/gallery/60-years-unemployment,North America,Examples,Case Studies,10,0.020833333,1,38,3.8,1720,172,1,10,48
Boulder,United States,11/26/2014,cpc,/gallery,North America,Examples,Case Studies,0,0.004,1,15,1.5,336,33.6,0.132,10,33
Washington,United States,11/27/2014,cpc,/gallery?elq=0c3b0811662f4bb2b41e968abf1ea725,North America,Examples,Case Studies,0,0.0026,1,16,1.6,277,27.7,0.1352,10,52
Mountain Home,United States,11/27/2014,cpc,/gallery/spend-or-not-spend,North America,Examples,Case Studies,10,0.0032,1,47,4.7,999,99.9,0.1152,10,36
Lafayette,United States,11/28/2014,cpc,/gallery/seattle-home-sales-july,North America,Examples,Case Studies,0,0.003,1,39,3.9,346,34.6,0.117,10,39
New York,United States,12/7/2014,cpc,/gallery/twinfluencers,North America,Examples,Case Studies,0,0.0024,1,40,4,415,41.5,0.1176,10,49
Minneapolis,United States,12/18/2014,cpc,/gallery/30-years-cd,North America,Examples,Case Studies,0,0.0029,1,16,1.6,7636,763.6,0.0696,10,24
Provo,United States,12/18/2014,cpc,/gallery/winning-sports-piece,North America,Examples,Case Studies,0,0.0034,1,13,1.3,1048,104.8,0.1598,10,47
Westlake Village,United States,12/18/2014,cpc,/gallery/college-football-recruiting,North America,Examples,Case Studies,10,0.0034,1,24,2.4,1540,154,0.1156,10,34
Winston Salem,United States,12/18/2014,cpc,/gallery/state-migration,North America,Examples,Case Studies,10,0.003,1,14,1.4,680,68,0.174,10,58
Beaverton,United States,12/18/2014,cpc,/gallery/state-migration,North America,Examples,Case Studies,10,0.001,1,11,1.1,1340,134,0.059,10,59
Beaverton,United States,12/19/2014,cpc,/gallery/realestatebuyer-seller,North America,Examples,Case Studies,10,0.0035,1,29,2.9,510,51,0.1715,10,49
New York,United States,12/20/2014,cpc,/gallery/taleof100,North America,Examples,Case Studies,0,0.0023,1,35,3.5,653,65.3,0.0644,10,28
Westlake Village,United States,12/21/2014,cpc,/gallery/college-football-recruiting,North America,Examples,Case Studies,10,0.0031,1,14,1.4,880,88,0.1705,10,55
Toronto,Canada,11/26/2014,email,/gallery/changing-job-benefits,North America,Examples,Case Studies,60,0.0022,1,132,2.2,5280,88,0.5412,60,246
Victoria,Canada,12/22/2014,email,/gallery/canadian-wealth,North America,Examples,Case Studies,60,0.0038,1,276,4.6,5940,99,1.0032,60,264
Victoria,Canada,12/23/2014,email,/gallery/canadian-wealth,North America,Examples,Case Studies,60,0.0018,1,294,4.9,9960,166,0.594,60,330
Cincinnati,United States,11/21/2014,email,/gallery/gobble-gobble,North America,Examples,Case Studies,10,0.0019,1,20,2,950,95,0.0513,10,27
Palo Alto,United States,11/22/2014,email,/gallery/gobble-gobble,North America,Examples,Case Studies,10,0.0025,1,44,4.4,1010,101,0.09,10,36
Springfield Gardens,United States,11/22/2014,email,/gallery/gobble-gobble,North America,Examples,Case Studies,10,0.0026,1,42,4.2,560,56,0.1404,10,54
Lindon,United States,11/23/2014,email,/gallery/gobble-gobble,North America,Examples,Case Studies,10,0.0031,1,28,2.8,1500,150,0.1147,10,37
Carpentersville,United States,11/26/2014,email,/gallery/changing-job-benefits,North America,Examples,Case Studies,10,0.0027,1,22,2.2,1410,141,0.054,10,20
Santa Barbara,United States,11/26/2014,email,/gallery/gobble-gobble,North America,Examples,Case Studies,10,0.003,1,40,4,530,53,0.126,10,42
Palo Alto,United States,11/26/2014,email,/gallery/changing-job-benefits,North America,Examples,Case Studies,10,0.0018,1,39,3.9,1620,162,0.081,10,45
Phoenix,United States,11/26/2014,email,/gallery/changing-job-benefits,North America,Examples,Case Studies,10,0.003,1,15,1.5,1020,102,0.138,10,46
Seattle,United States,11/27/2014,email,/gallery/changing-job-benefits,North America,Examples,Case Studies,10,0.0027,1,33,3.3,1740,174,0.054,10,20
Santa Barbara,United States,11/27/2014,email,/gallery/changing-job-benefits,North America,Examples,Case Studies,10,0.04,1,14,1.4,1510,151,1,10,25
Chicago,United States,11/27/2014,email,/gallery/changing-job-benefits,North America,Examples,Case Studies,10,0.0029,1,19,1.9,1430,143,0.0957,10,33
San Diego,United States,11/27/2014,email,/gallery/australia039s-educational-divide,North America,Examples,Case Studies,10,0.004,1,22,2.2,580,58,0.16,10,40
Washington,United States,11/27/2014,email,/gallery/changing-job-benefits,North America,Examples,Case Studies,10,0.023809524,1,14,1.4,710,71,1,10,42
Burlington,United States,11/27/2014,email,/gallery/changing-job-benefits,North America,Examples,Case Studies,10,0.0026,1,28,2.8,660,66,0.1378,10,53
Deerfield,United States,11/28/2014,email,/gallery/australia039s-educational-divide,North America,Examples,Case Studies,10,0.02,1,46,4.6,1550,155,1,10,50
Seattle,United States,11/28/2014,email,/gallery/australia039s-educational-divide,North America,Examples,Case Studies,10,0.0012,1,24,2.4,158,15.8,0.0696,10,58
Palo Alto,United States,11/29/2014,email,/gallery/rhode-island-job-market,North America,Examples,Case Studies,10,0.0019,1,43,4.3,820,82,0.0608,10,32
Palo Alto,United States,11/29/2014,email,/gallery/us-unemployment-correlations,North America,Examples,Case Studies,10,0.0016,1,44,4.4,750,75,0.088,10,55
Deerfield,United States,11/30/2014,email,/gallery/us-unemployment-correlations,North America,Examples,Case Studies,10,0.04,1,18,1.8,950,95,1,10,25
Minneapolis,United States,11/30/2014,email,/gallery/us-unemployment-correlations,North America,Examples,Case Studies,10,0.0019,1,40,4,821,82.1,0.0532,10,28
Palo Alto,United States,12/2/2014,email,/gallery/high-school-graduation-rates,North America,Examples,Case Studies,10,0.0031,1,10,1,1110,111,0.062,10,20
Dallas,United States,12/2/2014,email,/gallery/high-school-graduation-rates,North America,Examples,Case Studies,10,0.0031,1,29,2.9,1020,102,0.186,10,60
Deerfield,United States,12/3/2014,email,/gallery/high-school-graduation-rates,North America,Examples,Case Studies,10,0.020408163,1,43,4.3,5124,512.4,1,10,49
Minneapolis,United States,12/3/2014,email,/gallery/high-school-graduation-rates,North America,Examples,Case Studies,10,0.0025,1,28,2.8,1580,158,0.1375,10,55
Huntington,United States,12/3/2014,email,/gallery/high-school-graduation-rates,North America,Examples,Case Studies,10,0.0012,1,22,2.2,760,76,0.0696,10,58
Durham,United States,12/4/2014,email,/gallery/holiday-work-visa,North America,Examples,Case Studies,10,0.0039,1,26,2.6,1110,111,0.1287,10,33
Jackson,United States,12/4/2014,email,/gallery/holiday-work-visa,North America,Examples,Case Studies,10,0.0034,1,19,1.9,1300,130,0.1394,10,41
San Jose,United States,12/6/2014,email,/gallery/corruption-index,North America,Examples,Case Studies,10,0.0039,1,50,5,420,42,0.1053,10,27
Madison,United States,12/6/2014,email,/gallery/deadliest-cities,North America,Examples,Case Studies,10,0.0011,1,36,3.6,590,59,0.0319,10,29
Seattle,United States,12/6/2014,email,/gallery/corruption-index,North America,Examples,Case Studies,10,0.0036,1,31,3.1,1600,160,0.198,10,55
Deerfield,United States,12/7/2014,email,/gallery/deadliest-cities,North America,Examples,Case Studies,10,0.0039,1,30,3,680,68,0.0897,10,23
Hackensack,United States,12/10/2014,email,/gallery/deadliest-cities,North America,Examples,Case Studies,10,0.0037,1,21,2.1,690,69,0.074,10,20
Chicago,United States,12/10/2014,email,/gallery/nhl-players-go-abroad,North America,Examples,Case Studies,10,0.0017,1,13,1.3,2265,226.5,0.0629,10,37
New York,United States,12/10/2014,email,/gallery/deadliest-cities,North America,Examples,Case Studies,10,0.0026,1,40,4,1290,129,0.1404,10,54
Palo Alto,United States,12/11/2014,email,/gallery/nhl-players-go-abroad,North America,Examples,Case Studies,0,0.0024,1,27,2.7,396,39.6,0.0696,10,29
Denver,United States,12/11/2014,email,/gallery,North America,Examples,Case Studies,0,0.0033,1,18,1.8,544,54.4,0.1782,10,54
Charlotte,United States,12/11/2014,email,/gallery/nhl-players-go-abroad,North America,Examples,Case Studies,10,0.0016,1,26,2.6,1600,160,0.0496,10,31
Las Vegas,United States,12/11/2014,email,/gallery/messi039s-86-goals,North America,Examples,Case Studies,10,0.0018,1,41,4.1,660,66,0.0936,10,52
Indianapolis,United States,12/12/2014,email,/gallery/messi039s-86-goals,North America,Examples,Case Studies,10,0.0031,1,42,4.2,700,70,0.062,10,20
Chicago,United States,12/12/2014,email,/gallery/messi039s-86-goals,North America,Examples,Case Studies,10,0.0015,1,17,1.7,1690,169,0.087,10,58
Overland Park,United States,12/13/2014,email,/gallery/cost-college-football-wins,North America,Examples,Case Studies,0,0.0022,1,21,2.1,870,87,0.066,10,30
Jackson,United States,12/13/2014,email,/gallery/cost-college-football-wins,North America,Examples,Case Studies,10,0.0015,1,25,2.5,680,68,0.03,10,20
Charlotte,United States,12/13/2014,email,/gallery/cost-college-football-wins,North America,Examples,Case Studies,10,0.0022,1,46,4.6,1290,129,0.0638,10,29
Dansville,United States,12/13/2014,email,/gallery/cost-college-football-wins,North America,Examples,Case Studies,10,0.0029,1,23,2.3,790,79,0.1189,10,41
New York,United States,12/13/2014,email,/gallery/us-unemployment-correlations,North America,Examples,Case Studies,10,0.0021,1,26,2.6,510,51,0.0882,10,42
South Milwaukee,United States,12/13/2014,email,/gallery/cost-college-football-wins,North America,Examples,Case Studies,10,0.0033,1,43,4.3,630,63,0.1914,10,58
Austin,United States,12/13/2014,email,/gallery/messi039s-86-goals,North America,Examples,Case Studies,20,0.0037,1,94,4.7,1720,86,0.1443,20,39
Charlottesville,United States,12/17/2014,email,/gallery/corruption-index,North America,Examples,Case Studies,10,0.0012,1,46,4.6,1270,127,0.0468,10,39
Palo Alto,United States,12/18/2014,email,/gallery/state-migration,North America,Examples,Case Studies,0,0.0025,1,33,3.3,247,24.7,0.06,10,24
Topeka,United States,12/18/2014,email,/gallery/state-migration,North America,Examples,Case Studies,10,0.0017,1,10,1,1197,119.7,0.0459,10,27
Phoenix,United States,12/18/2014,email,/gallery/realestatebuyer-seller,North America,Examples,Case Studies,10,0.0029,1,33,3.3,465,46.5,0.0957,10,33
Lubbock,United States,12/18/2014,email,/gallery/realestatebuyer-seller,North America,Examples,Case Studies,10,0.0035,1,25,2.5,500,50,0.119,10,34
Seattle,United States,12/18/2014,email,/gallery/state-migration,North America,Examples,Case Studies,10,0.0014,1,40,4,680,68,0.0476,10,34
Lubbock,United States,12/18/2014,email,/gallery/state-migration,North America,Examples,Case Studies,10,0.001,1,28,2.8,1290,129,0.044,10,44
Palo Alto,United States,12/18/2014,email,/gallery/realestatebuyer-seller,North America,Examples,Case Studies,10,0.0025,1,35,3.5,1730,173,0.11,10,44
Vergennes,United States,12/18/2014,email,/gallery/state-migration,North America,Examples,Case Studies,10,0.0033,1,30,3,1230,123,0.1518,10,46
Minneapolis,United States,12/18/2014,email,/gallery/state-migration,North America,Examples,Case Studies,10,0.0035,1,45,4.5,1520,152,0.1715,10,49
New York,United States,12/18/2014,email,/gallery/voting-history-us-states,North America,Examples,Case Studies,10,0.0026,1,36,3.6,470,47,0.1326,10,51
Austin,United States,12/18/2014,email,/gallery/state-migration,North America,Examples,Case Studies,20,0.026315789,1,31,1.55,1879,93.95,1,20,38
Bellevue,United States,12/19/2014,email,/gallery/realestatebuyer-seller,North America,Examples,Case Studies,10,0.0026,1,48,4.8,10791,1079.1,0.0546,10,21
Minneapolis,United States,12/19/2014,email,/gallery/realestatebuyer-seller,North America,Examples,Case Studies,10,0.0027,1,16,1.6,1010,101,0.0621,10,23
Seattle,United States,12/19/2014,email,/gallery/realestatebuyer-seller,North America,Examples,Case Studies,10,0.0014,1,20,2,346,34.6,0.049,10,35
Kenmore,United States,12/19/2014,email,/gallery/scotland-population,North America,Examples,Case Studies,10,0.0028,1,36,3.6,1650,165,0.1036,10,37
Austin,United States,12/19/2014,email,/gallery/realestatebuyer-seller,North America,Examples,Case Studies,10,0.0028,1,18,1.8,860,86,0.1204,10,43
New York,United States,12/19/2014,email,/gallery/state-migration,North America,Examples,Case Studies,10,0.0014,1,29,2.9,1700,170,0.07,10,50
New York,United States,12/19/2014,email,/gallery/realestatebuyer-seller,North America,Examples,Case Studies,30,0.018518519,1,117,3.9,247,8.233333333,1,30,54
Palo Alto,United States,12/20/2014,email,/gallery/scotland-population,North America,Examples,Case Studies,10,0.0029,1,12,1.2,590,59,0.0638,10,22
Austin,United States,12/20/2014,email,/gallery/scotland-population,North America,Examples,Case Studies,10,0.0033,1,18,1.8,430,43,0.0924,10,28
Omaha,United States,12/20/2014,email,/gallery/cost-college-football-wins,North America,Examples,Case Studies,10,0.0012,1,11,1.1,1640,164,0.0444,10,37
Iowa City,United States,12/20/2014,email,/gallery/scotland-population,North America,Examples,Case Studies,10,0.0035,1,25,1.25,425,21.25,0.231,20,66
Deerfield,United States,12/21/2014,email,/gallery/livinglongerunhealthy,North America,Examples,Case Studies,10,0.004,1,21,2.1,490,49,0.14,10,35
Seattle,United States,12/21/2014,email,/gallery/livinglongerunhealthy,North America,Examples,Case Studies,10,0.001,1,43,4.3,1590,159,0.045,10,45
East Boston,United States,12/22/2014,email,/gallery/canadian-wealth,North America,Examples,Case Studies,10,0.002,1,37,3.7,1410,141,0.116,10,58
Palo Alto,United States,12/25/2014,email,/gallery/international-debt-stats,North America,Examples,Case Studies,0,0.010638298,1,16,1.6,2918,291.8,1,10,94
Sully,United States,12/25/2014,email,/gallery/cost-college-football-wins,North America,Examples,Case Studies,10,0.0032,1,15,1.5,1650,165,0.192,10,60
Deerfield,United States,12/26/2014,email,/gallery/international-debt-stats,North America,Examples,Case Studies,0,0.002,1,22,2.2,1197,119.7,0.216,10,108
Palo Alto,United States,12/26/2014,email,/gallery/biking-argentina,North America,Examples,Case Studies,10,0.0035,1,30,3,1460,146,0.329,10,94
Parkersburg,United States,12/27/2014,email,/gallery/livinglongerunhealthy,North America,Examples,Case Studies,0,0.0034,1,40,4,20,2,0.3332,10,98
Parkersburg,United States,12/27/2014,email,/gallery/messi039s-86-goals,North America,Examples,Case Studies,10,0.001,1,42,4.2,2334,233.4,0.094,10,94
Palo Alto,United States,12/27/2014,email,/gallery/co2-emissions,North America,Examples,Case Studies,10,0.0034,1,21,2.1,1420,142,0.408,10,120
Parkersburg,United States,12/28/2014,email,/gallery/messi039s-86-goals,North America,Examples,Case Studies,0,0.0017,1,41,4.1,59,5.9,0.153,10,90
Quincy,United States,12/28/2014,email,/gallery/co2-emissions,North America,Examples,Case Studies,10,0.0018,1,28,2.8,640,64,0.0828,10,46
New York,United States,12/28/2014,email,/gallery/co2-emissions,North America,Examples,Case Studies,10,0.0035,1,42,4.2,2552,255.2,0.259,10,74
Palo Alto,United States,12/31/2014,email,/gallery/rent-or-buy,North America,Examples,Case Studies,10,0.001,1,11,1.1,1250,125,0.09,10,90
